date,tag,workId,linkUrl,titleEn,titleJp,bodyEn,bodyJp
2025.12.28,premiere,parallax,,Parallax — World Premiere,《Parallax》世界初演,"<em>Parallax</em> for Clarinet, Violoncello, Piano premiered in Kobe by Kei Shimomura (Cl), Mutsuhiro Yamauchi (Vc), and Hiroshi Mihara (Pf).",Clarinet・Violoncello・Piano のための《Parallax》が、下村景さん(Cl)、山内睦大さん(Vc)、三原寛志さん(Pf)によって神戸で初演されました。
2025.11.17,adopted,,https://askyoto.or.jp/info/25216,"Joint Project ""Ii・Komawaki・Morita"" Selected for THEATRE E9 KYOTO U30 Programme",「ぃぃ・駒和樹・森田拓夢 共同企画」 THEATRE E9 KYOTO 第2期U30創造支援事業に採択,"The collaborative project ""Ii・Komawaki・Morita"" has been selected for the 2nd-term U30 Creative Support Programme at THEATRE E9 KYOTO.",所属団体「ぃぃ・駒和樹・森田拓夢 共同企画」が、THEATRE E9 KYOTO の第2期U30創造支援事業に採択されました。
2025.11.6,premiere,hikari-to-kumo,,Hikari to Kumo de — Premiere,《光と雲で》 鶴岡東高等学校吹奏楽部により初演,<em>Hikari to Kumo de</em> for Wind Ensemble premiered in Yamagata by the Tsuruoka-Higashi High School Wind Ensemble.,Wind Ensemble のための《光と雲で》が、鶴岡東高等学校吹奏楽部によって山形で初演されました。
2025.7.20,rerun,zapping-shower,,Zapping Shower — Re-performance in Kyoto,《Zapping Shower》 京都にて再演,<em>Zapping Shower</em> for Clarinet and tape performed by Kei Shimomura (Cl) in Kyoto.,Clarinet とテープのための《Zapping Shower》が、下村景さん(Cl)によって京都で再演されました。
2024.9.19,premiere,hoshi-ni-oyogu,,Hoshi ni Oyogu — Premiere in Osaka,《星におよぐ》 大阪にて初演,"<em>Hoshi ni Oyogu</em> for 2 Tenor Saxophones and Piano premiered in Osaka by Kazuyuki Hayashida (T.Sax), Sōta Kawaguchi (T.Sax) and Miu Kim (Pf).","2 Tenor Saxophones, Piano のための《星におよぐ》が、林田和之さん(T.Sax)、川口蒼太さん(T.Sax)、金未卯さん(Pf)によって大阪で初演されました。"
2024.4.4 / 2024.4.6,premiere,between-the-winds,,Between the Winds — Premiere,《Between the Winds》 東京・山形にて初演,<em>Between the Winds</em> for Flute and Piano premiered by Kunihiro Kamata (Fl) and Tsubasa Mikami (Pf) in Tokyo and Yamagata.,Flute と Piano のための《Between the Winds》が、鎌田邦裕さん(Fl)と三上翼さん(Pf)によって東京と山形で初演されました。
2024.1.10 / 2024.1.17,premiere,kasasane,,Kasasane — Premiere in Freiburg & Osaka,《Kasasane》 フライブルク・大阪にて初演,<em>Kasasane</em> for Trombone Duodecet premiered by students of the Hochschule für Musik Freiburg in Freiburg (Germany) and Osaka.,Trombone 12重奏のための《Kasasane》が、フライブルク音楽大学在学生の皆様によってフライブルク（ドイツ）と大阪で初演されました。
2023.3.30,award,,,Kyoto City Cultural Arts Future Prize,京都市文化芸術みらい賞 受賞,Awarded by the City of Kyoto for cultural and artistic achievement.,京都市より「京都市文化芸術みらい賞」を受賞しました。
2023.3.24,award,,,Kyoto Mayor's Award (Outstanding Graduate),京都市長賞 受賞,"Completed the Master's Program at Kyoto City University of Arts, receiving the Kyoto Mayor's Award as outstanding graduate.",京都市立芸術大学大学院修士課程作曲専攻を修了し、成績優秀者として京都市長賞を受賞しました。
2023.2.3,premiere,zapping-shower,,Zapping Shower — Premiere in Freiburg,《Zapping Shower》 フライブルクにて初演,<em>Zapping Shower</em> for Clarinet and tape premiered at an internal concert at the Hochschule für Musik Freiburg.,Clarinet とテープのための《Zapping Shower》が、フライブルク音楽大学の学内コンサートで初演されました。
2023.1.19,premiere,cutting,,Cutting — Premiere,《Cutting》 室内アンサンブルにより初演,<em>Cutting</em> for chamber ensemble premiered by Melise Mellinger (Vn) and Åsa Åkerberg (Vc) of Ensemble Recherche with students of the Hochschule für Musik Freiburg.,室内アンサンブルのための《Cutting》が、Ensemble Recherche のMelise Mellingerさん(Vn)、Åsa Åkerbergさん(Vc)、そしてフライブルク音楽大学在学生の皆様によって初演されました。
2022.11.17,premiere,manekko,,Manekko Gokko — Broadcast Premiere on NHK-FM,《まねっこごっこ》 NHK-FM 放送初演,"<em>Manekko Gokko</em> for Orchestra was broadcast-premiered on NHK-FM, performed by the Tokyo Philharmonic Orchestra.",Orchestra のための《まねっこごっこ》が、NHK-FMにて放送初演されました（東京フィルハーモニー交響楽団による演奏）。
2022.8.19,award,,https://oncon.mainichi-classic.net/news/detail_10.html,2nd Prize — 91st Japan Music Competition,第91回日本音楽コンクール 第2位,<em>Manekko Gokko</em> for Orchestra received 2nd Prize in the Composition Division.,Orchestra のための《まねっこごっこ》が、第91回日本音楽コンクールで第2位を受賞しました。
2022.5.6 / 2022.5.17,premiere,utopia,,"Saxophone Quartet No. 1 ""Utopia"" — Premiere","《サクソフォン四重奏曲 第1番 ""Utopia""》 初演","<em>Saxophone Quartet No. 1 ""Utopia""</em> premiered in Tokyo and Osaka by Quatuor Est et Quest.","《サクソフォン四重奏曲 第1番 ""Utopia""》が、Quatuor Est et Quest の皆様によって東京と大阪で初演されました。"
2021.12.20,premiere,,,Musical Suishō no Kuni ni Owakare wo (Chamber ver.) — Premiere,ミュージカル《水晶の国にお別れを》室内楽版 初演,The chamber version of the musical Suishō no Kuni ni Owakare wo was premiered produced by &lt;Sekai Heiwa&gt;.,ミュージカル《水晶の国にお別れを》の室内楽版が、企画団体＜世界平和＞プロデュースにより初演されました。
